类别,场景/事件,建议数量,内容描述,构图/角度,色调风格,搜索关键词（中英文）
生活休息,才艺表演,1,学生围坐，中间有人表演,中景围圈,暖色,才艺表演 围坐 / talent show circle
生活休息,教官讲故事,1,教官与学生们围坐，教官讲得生动,中景,暖色,教官讲故事 / instructor storytelling
生活休息,教官请喝奶茶,1,教官分发奶茶，学生欢呼,中景欢快,明亮,喝奶茶 欢呼 / milk tea celebration
生活休息,教官也喝奶茶（彩蛋）,1,教官偷偷喝奶茶，表情尴尬,特写偷感,幽默,偷喝奶茶 / secretly drinking milk tea
特殊事件,中暑/身体不适,1,学生脸色苍白，被同学搀扶,中景关心,略暗,中暑 搀扶 / heatstroke help
特殊事件,下雨,1,雨中队列，或学生在屋檐下躲雨,中景雨丝,冷色,雨中军训 / rain training
特殊事件,大风,1,学生帽子被吹飞，风沙大,动态抓拍,冷色,大风 帽子飞 / windy hat blown
特殊事件,紧急集合（正常连队）,1,学生从宿舍跑出，夜色,夜景,冷色,紧急集合 奔跑 / emergency run
特殊事件,绕校拉练,1,学生沿校园道路行走，两圈路线,中景道路,明亮,校园拉练 行走 / campus march
特殊事件,消防演练,1,学生使用灭火器，白烟弥漫,中景白烟,明亮,消防演练 灭火器 / fire drill extinguisher
特殊事件,急救培训,1,学生练习心肺复苏，假人,特写动作,明亮,急救培训 心肺复苏 / CPR training
特殊事件,教官换人,1,新教官站在队列前，表情严肃,中景,明亮,教官 队列 / drill instructor
特殊事件,宿舍卫生评比,1,教官检查宿舍，学生紧张,中景,明亮,宿舍检查 / dormitory inspection
特殊事件,会操表演,1,方阵接受检阅，整齐划一,广角全景,正式,会操表演 检阅 / military parade
特殊事件,告别教官,1,学生与教官拥抱，眼眶红,中景感人,暖色,告别教官 / farewell instructor
特殊事件,写感谢信,1,学生低头写信，信纸特写,特写,温馨,写信 感谢 / writing thank you letter
角色立绘,学生（玩家）,1,穿军训服的学生半身像，表情可替换,正面或半侧,写实或卡通,穿军训服学生 / student in uniform
角色立绘,教官,1,穿军装的教官，表情严肃,正面,写实,教官 军装 / drill instructor uniform
角色立绘,班主任,1,老师形象，可穿便装,正面,写实,老师 便装 / teacher casual
角色立绘,同学若干,3-5,不同学生形象，用于对话,半身,写实或卡通,学生 头像 / student avatar
天气氛围,晴天烈日,1,无云蓝天，强烈阳光，地面反光,广角,高亮暖色,烈日 蓝天 / sunny sky heat
天气氛围,下雨,1,灰暗天空，雨滴，积水,广角,冷色低饱和,下雨 天空 / rainy sky
天气氛围,大风,1,树木摇曳，飞沙走石,广角,冷色,大风 沙尘 / windy dusty
